【周度线索池】
级别,院校,省份,层次,院系,触发事件,新设专业,预算,截止日期,开口话术,原文链接
关注,金华职业技术大学,浙江,高职,商学院,浙江金华阳光招标代理有限公司关于金华职业技术大学虚拟仿真实训基地管理平台设备采购项目中标(成交)结果公告,,,,商学院负责人，关注到贵校“浙江金华阳光招标代理有限公司关于金华职业技术大学虚拟仿真实训基地管理平台设备采购项目中标(成交)结果公告”项目，我们的商科实训平台与该需求高度匹配，已有同类院校落地案例，距—截止还有时间，方便安排一次交流吗？,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202609/t20260901_27239652.htm

【本周新增信号】
首次发现,数据源,信号类型,标题,院校,原文链接
2026-09-01,国家社科基金/全国教科规划公示,grant,2026年全国教育科研工作会议开幕 2026-04-13 20:24:37,,http://onsgep.moe.edu.cn/post/view/1833
2026-09-01,国家社科基金/全国教科规划公示,grant,中国教育科学论坛（2025）学术海报专场成功举办 2025-12-12 20:06:24,,http://onsgep.moe.edu.cn/post/view/1826
2026-09-01,国家社科基金/全国教科规划公示,grant,中国教育科学论坛（2025）在京开幕 2025-12-12 19:57:49,,http://onsgep.moe.edu.cn/post/view/1825
2026-09-01,国家社科基金/全国教科规划公示,grant,第三期全国教育科研管理干部培训成功举办 2025-11-12 18:47:36,,http://onsgep.moe.edu.cn/post/view/1812
2026-09-01,国家社科基金/全国教科规划公示,grant,国家社科基金教育学重点项目“中国教育学建设系列”推进研讨——2025年全国教育科研工作会议 2025-05-07 16:25:40,,https://mp.weixin.qq.com/s/s8Sj76-E6wX8_mxgD-p4rg
2026-09-01,国家社科基金/全国教科规划公示,grant,高等教育战略研讨——2025年全国教育科研工作会议 2025-05-03 16:36:38,,https://mp.weixin.qq.com/s/TsxRVoc0njMpPd0IqL2D2Q
2026-09-01,国家社科基金/全国教科规划公示,grant,新时代教育思想研讨——2025年全国教育科研工作会议 2025-05-02 16:35:16,,https://mp.weixin.qq.com/s/rYZ9YEwdRFHgHrGNrmV3cQ
2026-09-01,国家社科基金/全国教科规划公示,grant,国家社会科学基金项目资金管理办法（2021） 2021/11/30,,http://onsgep.moe.edu.cn/post/view/1849
2026-09-01,国家社科基金/全国教科规划公示,grant,教育部办公厅关于开展第六届全国教育科学 研究优秀成果评选奖励活动的通知 2021/03/04,,http://onsgep.moe.edu.cn/post/view/1697
2026-09-01,国家社科基金/全国教科规划公示,grant,教育部关于加强新时代教育科学研究工作的意见 2019/10/30,,http://onsgep.moe.edu.cn/post/view/1693
2026-09-01,国家社科基金/全国教科规划公示,grant,中宣部 教育部 科技部 中共中央党校（国家行政学院） 中国社会科学院 国务院发展研究中心 中央军委科学技术委员会关于印发《哲学社会科学科研诚信建设实施办法》的通知 2019/07/03,,http://onsgep.moe.edu.cn/post/view/1688
2026-09-01,国家社科基金/全国教科规划公示,grant,关于进一步完善国家社会科学基金项目管理的有关规定 2019/04/30,,http://onsgep.moe.edu.cn/post/view/1689
2026-09-01,国家社科基金/全国教科规划公示,grant,国家教育事业发展“十三五”规划 2024/12/30,,http://onsgep.moe.edu.cn/post/view/1686
2026-09-01,国家社科基金/全国教科规划公示,grant,国家教育事业发展第十二个五年规划 2012/06/30,,http://onsgep.moe.edu.cn/post/view/1685
2026-09-01,国家社科基金/全国教科规划公示,grant,国家哲学社会科学研究“十二五”规划 2011/06/03,,http://onsgep.moe.edu.cn/post/view/1680
2026-09-01,国家社科基金/全国教科规划公示,grant,国家哲学社会科学研究“十一五”（2006—2010年）规划 2011/05/09,,http://onsgep.moe.edu.cn/post/view/1681
2026-09-01,国家社科基金/全国教科规划公示,grant,国家哲学社会科学研究“十五”(2001—2005年)规划要点 2011/05/09,,http://onsgep.moe.edu.cn/post/view/1682
